@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute left_hit {0,1,2}
@attribute left_type {0,1,2,3}
@attribute left_pos numeric
@attribute right_hit {0,1,2}
@attribute right_type {0,1,2,3}
@attribute right_pos numeric
@attribute kick {0,1,2}

@data
1,'2019/04/12 13:32:25:744',6,18592354304,18586675200,6797278720,3959838976,19419162624,21241665536,17491331072,17330311168,18347448320,25148688384,13125794816,307421152,4145342976,22480642048,5526472704,1359992064,9455673344,15002660864,4310339584,565910528,7210112512,10110362624,960409984,574930432,5656803840,2839763968,2522918912,2093931136,23325016064,21905870848,4358246912,1160076544,24671668224,26085593088,8339005440,3328379648,25427122176,27008983040,4253698560,3898316544,0,0,0,?,?,?,?,?,?,?
2,'2019/04/12 13:32:25:984',6,18619656192,18651955200,6834425344,3974842368,19452198912,21177880576,17318416384,17323046912,18551855104,24849324032,13300419584,279586304,4035364352,22633222144,6425113600,1589628672,9043977216,14679873536,4511470592,583802048,8846791680,12023137280,1110401024,602103552,4720596992,2287181056,2509868544,2086848512,23285493760,22185975808,4361535488,1157118592,24670957568,26091124736,8350685696,3354606336,25440600064,27014318080,4220295680,3932798976,0,0,0,?,?,?,?,?,?,?
3,'2019/04/12 13:32:26:233',6,18650060800,18703017984,6914929152,4076753920,19499495424,21199022080,17539915776,17249945600,18520113152,24454557696,13353000960,288155392,3853681664,22825377792,7228670976,1754977792,9155921920,14937525248,4703495680,638375040,9490313216,12704136192,1175096192,633747648,4597362176,2231902208,2611226880,2163192576,23372904448,22525028352,4432840192,1164978176,24702320640,26133235712,8379412480,3450458368,25468387328,27026692096,4249147392,3983988992,0,0,0,?,?,?,?,?,?,?
4,'2019/04/12 13:32:26:481',6,18680836096,18668826624,7158779904,4582184960,19548139520,21482612736,17930149888,17092040704,18079766528,24831524864,13044361216,355129120,3728141056,22421700608,6272839680,1698992768,9993969664,15106318336,4537600000,620058240,7499494400,10745568256,1025722880,630987264,6389840384,3211842816,2839120384,2200360960,23685767168,22952445952,4447481344,1141131520,24755712000,26141952000,8427315200,3475077632,25489559552,27054790656,4294996480,4013856256,0,0,0,?,?,?,?,?,?,?
5,'2019/04/12 13:32:26:732',6,18705573888,19078871040,9520146432,7621859328,19538661376,23171143680,21161271296,14527325184,18836649984,26338916352,7227657216,357628640,3663995904,20704593920,4085778688,1698732544,10214216704,12595346432,4562458624,613023424,6982744064,10319719424,1029649024,641731968,7024373248,3452443136,2972474112,2230493952,23737415680,23170691072,4489611264,1139525248,24728178688,26155003904,8442375168,3537803008,25481265152,27068069888,4328296448,4047104768,0,0,0,?,?,?,?,?,?,?
6,'2019/04/12 13:32:26:983',6,18147952640,21571260416,18710097920,8250426368,18876338176,24539486208,11593745408,12202104832,18749399040,15670617088,2239381248,312352512,3024827392,2743351040,2797869056,1656256768,9964690432,12279947264,4518599680,592408384,7351413760,10776152064,1065091712,613709824,6423734272,3119020032,2760295424,2108854016,23637633024,22796554240,4447660544,1131125888,24682076160,26093934592,8349749248,3382231296,25428410368,26991136768,4290704384,3956502784,0,0,0,?,?,?,?,?,?,?
7,'2019/04/12 13:32:27:234',6,15522795520,20810110976,24618090496,10085303296,15801944064,16672001024,5979663872,10139721728,17803599872,11984949248,2219146752,275010752,3070122240,2730544128,2729150976,1547508864,9883191296,12302294016,4356205568,556811712,7164767744,10587987968,1080371328,569891776,6257166848,3006854400,2572386816,2035800192,23503814656,22344607744,4402045952,1111351296,24662546432,26094891008,8334140928,3292301824,25406971904,26988673024,4255234304,3902393088,0,0,0,?,?,?,?,?,?,?
8,'2019/04/12 13:32:27:481',6,15284305920,21337534464,26919319552,14477689856,16887164928,14944082944,1781702016,6117034496,18221584384,13142166528,2258821632,292773056,3165150976,2905683456,2407374336,1404579456,9991983104,12739918848,4056966144,522770848,5839756800,9058652160,999202752,534172672,7278270464,3521762048,2695545344,2124945792,23813294080,22422317056,4449041408,1128691072,24896462848,26338283520,8450541568,3304473088,25668517888,27226677248,4302759936,3963664384,0,0,0,?,?,?,?,?,?,?
9,'2019/04/12 13:32:27:732',6,15121552384,20759711744,25627060224,16290894848,17784203264,14989553664,1091424128,4212270336,18235615232,13033624576,2256526592,275804224,3217336576,2902389504,2481212672,1432624256,10029341696,12713466880,4111817472,522104672,6110350336,9332048896,975485952,536270688,7170422784,3445123328,2721041152,2113310592,23826591744,22613180416,4461095936,1112631296,24881287168,26339282944,8439748608,3379176704,25652959232,27242158080,4270759168,3942964224,0,0,0,?,?,?,?,?,?,?
10,'2019/04/12 13:32:27:980',6,15338441728,20722765824,25262073856,16824143872,18205978624,15306244096,1033096960,3908133888,18814550016,13784259584,2117729024,264183104,3424504576,2520188416,3169922048,1672716032,9449127936,11695926272,4473665536,587333312,8681888768,12320319488,1176222848,580558528,5277059584,2490514944,2581255424,2162468864,23754356736,22670342144,4470809088,1152002944,25059614720,26477746176,8530525696,3408098816,25814134784,27405963264,4325760512,4004462080,0,0,0,?,?,?,?,?,?,?
