@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute drum-1 numeric
@attribute outputs-1 {0,1,2}

@data
1,'2019/04/03 15:52:53:981',1,1,2
2,'2019/04/03 15:52:54:064',1,1,2
3,'2019/04/03 15:52:54:142',1,1,2
4,'2019/04/03 15:52:54:220',1,1,2
5,'2019/04/03 15:52:54:298',1,1,2
6,'2019/04/03 15:52:54:382',1,1,2
7,'2019/04/03 15:52:54:466',1,1,2
8,'2019/04/03 15:52:54:550',1,1,2
9,'2019/04/03 15:52:54:640',1,1,2
10,'2019/04/03 15:52:54:724',1,1,2
11,'2019/04/03 15:52:55:930',1,1,2
12,'2019/04/03 15:52:56:008',1,1,2
13,'2019/04/03 15:52:56:092',1,1,2
14,'2019/04/03 15:52:56:170',1,1,2
15,'2019/04/03 15:52:56:242',1,1,2
16,'2019/04/03 15:52:56:313',1,1,2
17,'2019/04/03 15:52:56:386',1,1,2
18,'2019/04/03 15:52:56:464',1,1,2
19,'2019/04/03 15:52:56:536',1,1,2
20,'2019/04/03 15:52:56:608',1,1,2
21,'2019/04/03 15:52:56:679',1,1,2
22,'2019/04/03 15:52:57:946',1,1,2
23,'2019/04/03 15:52:58:024',1,1,2
24,'2019/04/03 15:52:58:102',1,1,2
25,'2019/04/03 15:52:58:192',1,1,2
26,'2019/04/03 15:52:58:264',1,1,2
27,'2019/04/03 15:52:58:348',1,1,2
28,'2019/04/03 15:52:58:420',1,1,2
29,'2019/04/03 15:52:58:492',1,1,2
30,'2019/04/03 15:52:58:564',1,1,2
31,'2019/04/03 15:52:58:636',1,1,2
32,'2019/04/03 15:52:59:572',1,1,2
33,'2019/04/03 15:52:59:650',1,1,2
34,'2019/04/03 15:52:59:740',1,1,2
35,'2019/04/03 15:52:59:818',1,1,2
36,'2019/04/03 15:52:59:890',1,1,2
37,'2019/04/03 15:52:59:968',1,1,2
38,'2019/04/03 15:53:00:052',1,1,2
39,'2019/04/03 15:53:00:130',1,1,2
40,'2019/04/03 15:53:00:208',1,1,2
41,'2019/04/03 15:53:00:280',1,1,2
42,'2019/04/03 15:53:01:624',1,1,2
43,'2019/04/03 15:53:01:702',1,1,2
44,'2019/04/03 15:53:01:786',1,1,2
45,'2019/04/03 15:53:01:864',1,1,2
46,'2019/04/03 15:53:01:942',1,1,2
47,'2019/04/03 15:53:02:014',1,1,2
48,'2019/04/03 15:53:02:092',1,1,2
49,'2019/04/03 15:53:02:170',1,1,2
50,'2019/04/03 15:53:02:248',1,1,2
